"NAME","SOV0NAME","ADM1NAME","LATITUDE","LONGITUDE","POP_MAX"
"Yerema","Russia","Irkutsk",60.380796,107.779406,745
"Tayshet","Russia","Irkutsk",55.927709,97.987703,52184
"Slyudyanka","Russia","Irkutsk",51.653836,103.698828,18809
"Zima","Russia","Irkutsk",53.93305,102.03309,60239
"Nizhneudinsk","Russia","Irkutsk",54.897669,99.027692,43326
"Ust Kut","Russia","Irkutsk",56.764971,105.759994,25388
"Bodaybo","Russia","Irkutsk",57.964975,114.32898,15933
"Yeniseysk","Russia","Krasnoyarsk",58.451508,92.156535,19920
"Lesosibirsk","Russia","Krasnoyarsk",58.243252,92.483285,65945
"Turukhansk","Russia","Krasnoyarsk",65.838164,87.954983,4774
"Starorybnoye","Russia","Taymyr",72.766604,104.800001,10
"Dudinka","Russia","Taymyr",69.418203,86.225011,23619
"Novyy Uoyin","Russia","Buryat",56.134983,111.733893,4184
"Bagdarin","Russia","Buryat",54.433304,113.600032,4676
"Tynda","Russia","Amur",55.174267,124.707571,37335
"Mogocha","Russia","Chita",53.733321,119.766581,12647
"Khilok","Russia","Chita",51.350004,110.450044,10627
"Kavache","Russia","Sakha (Yakutia)",70.733291,136.216636,-99
"Verkhoyansk","Russia","Sakha (Yakutia)",67.5447,133.384974,1388
"Srednekolymsk","Russia","Sakha (Yakutia)",67.450003,153.710039,3459
"Zyryanka","Russia","Sakha (Yakutia)",65.735973,150.890004,3627
"Eldikan","Russia","Sakha (Yakutia)",60.800021,135.183314,1516
"Khandyga","Russia","Sakha (Yakutia)",62.666006,135.600033,6796
"Neryungri","Russia","Sakha (Yakutia)",56.674046,124.710362,66320
"Chernyshevskiy","Russia","Sakha (Yakutia)",63.012755,112.471419,5137
"Terbyas","Russia","Sakha (Yakutia)",64.376082,120.546895,10
"Vilyuysk","Russia","Sakha (Yakutia)",63.755267,121.624762,9948
"Sangar","Russia","Sakha (Yakutia)",63.924146,127.473914,4633
"Menkere","Russia","Sakha (Yakutia)",67.988601,123.350496,10
"Saskylakh","Russia","Sakha (Yakutia)",71.91663,114.08331,1920
"Govorovo","Russia","Sakha (Yakutia)",70.211359,125.993281,943
"Sagastyr","Russia","Sakha (Yakutia)",73.377933,126.592352,10
"Suntar","Russia","Sakha (Yakutia)",62.14441,117.631931,8639
"Olenek","Russia","Sakha (Yakutia)",68.525002,112.450025,10
"Udachnyy","Russia","Sakha (Yakutia)",66.423167,112.39654,15266
"Khakhar","Russia","Khabarovsk",57.666595,135.430018,10
"Chumikan","Russia","Khabarovsk",54.711395,135.314514,1305
"Komsomolsk na Amure","Russia","Khabarovsk",50.554988,137.019998,275908
"Ayan","Russia","Khabarovsk",56.454241,138.167331,1286
"Sovetskaya Gavan","Russia","Khabarovsk",48.969891,140.27489,29740
"Evensk","Russia","Maga Buryatdan",61.949977,159.233319,2024
"Palatka","Russia","Maga Buryatdan",60.100012,150.899978,21452
"Omsukchan","Russia","Maga Buryatdan",62.533275,155.80004,4201
"Susuman","Russia","Maga Buryatdan",62.783337,148.166759,7367
"Nogliki","Russia","Sakhalin",51.833282,143.166703,10098
"Korsakov","Russia","Sakhalin",46.642436,142.777476,35091
"Manily","Russia","Kamchatka",62.549992,165.300029,10
"Oktyabrskiy","Russia","Kamchatka",52.663593,156.238722,1534
"Klyuchi","Russia","Kamchatka",56.29996,160.850016,1089
"Kulusuk","Denmark","Kommuneqarfik Sermersooq",65.566578,-37.183322,286
"Paamiut","Denmark","Kommuneqarfik Sermersooq",62.004102,-49.63507,1862
"Ittoqqortoormiit","Denmark","Kommuneqarfik Sermersooq",70.483358,-21.966654,469
"Timmiarmiut","Denmark","Kommune Kujalleq",62.533275,-42.21671,10
"Qaqortoq","Denmark","Kommune Kujalleq",60.72891,-46.036412,3224
"Kangerlussuaq","Denmark","Qeqqata Kommunia",67.014123,-50.709909,556
"Nord","Denmark","Nationalparken",81.716626,-17.800035,10
"Kokkola","Finland","Western Finland",63.833299,23.116666,46714
"Unalaska","United States","Alaska",53.868584,-166.531603,3571
"Togiak","United States","Alaska",59.070361,-160.378323,236
"Red Devil","United States","Alaska",61.760996,-157.312527,25
"Hooper Bay","United States","Alaska",61.531088,-166.096565,1079
"Galena","United States","Alaska",64.733296,-156.926995,500
"Skagway","United States","Alaska",59.45832,-135.313896,955
"Fort Yukon","United States","Alaska",66.564682,-145.273779,833
"Brochet","Canada","Manitoba",57.883223,-101.666596,278
"Holman","Canada","Northwest Territories",70.733369,-117.749981,500
"Attawapiskat","Canada","Ontario",52.916627,-82.433325,1802
"Sept-Îles","Canada","Québec",50.316088,-66.360017,25686
"Ísafjörður","Iceland","Vestfirðir",66.083317,-23.149967,2534
"Akureyri","Iceland","Akureyri",65.666572,-18.100017,16563
"Keflavík","Iceland","Suðurnes",64.016647,-22.566592,7930
"Östersund","Sweden","Jämtland",63.183313,14.65,46178
"Molde","Kingdom of Norway","Møre og Romsdal",62.7483,7.183324,18594
"Provideniya","Russia","Chukchi Autonomous Okrug",64.423495,-173.225794,2536
"Vyborg","Russia","Leningrad",60.703877,28.754927,117201
"Rusanovo","Russia","Arkhangel'sk",70.598074,56.372291,10
"Mezen","Russia","Arkhangel'sk",65.85222,44.240028,3672
"Velsk","Russia","Arkhangel'sk",61.067395,42.09742,26300
"Kotlas","Russia","Arkhangel'sk",61.263068,46.663084,59879
"Onega","Russia","Arkhangel'sk",63.927143,38.077148,22693
"Kostroma","Russia","Kostroma",57.770026,40.940023,277656
"Velikiy Ustyug","Russia","Vologda",60.768706,46.298662,33237
"Zlatoust","Russia","Chelyabinsk",55.17499,59.649992,191366
"Amderma","Russia","Nenets",69.763014,61.667698,282
"Naryan Mar","Russia","Nenets",67.647407,53.057423,21658
"Inta","Russia","Komi",66.037428,60.167428,22921
"Usinsk","Russia","Komi",65.923042,57.402997,45000
"Pechora","Russia","Komi",65.158748,57.208746,46113
"Pervouralsk","Russia","Sverdlovsk",56.910026,59.955038,133600
"Berezniki","Russia","Perm'",59.420002,56.759987,167748
"Oulu","Finland","Northern Ostrobothnia",64.999998,25.470011,136752
"Norway House","Canada","Manitoba",53.966588,-97.83329,6000
"Flin Flon","Canada","Manitoba",54.766591,-101.883301,6393
"The Pas","Canada","Manitoba",53.816623,-101.233315,6055
"Uranium City","Canada","Saskatchewan",59.566557,-108.616585,89
"Grand Prairie","Canada","Alberta",55.166644,-118.799994,41462
"Fort Nelson","Canada","British Columbia",58.816706,-122.532971,6315
"Cape Dorset","Canada","Nunavut",64.31252,-76.538579,1326
"Kimmirut","Canada","Nunavut",62.850026,-69.883316,385
"Gjoa Haven","Canada","Nunavut",68.63329,-95.916662,1109
"Grise Fiord","Canada","Nunavut",76.441651,-82.949986,23
"Alert","Canada","Nunavut",82.483323,-62.249984,125
"Ennadai","Canada","Nunavut",61.133283,-100.883336,0
"Rankin Inlet","Canada","Nunavut",62.816668,-92.09532,2472
"Fort Resolution","Canada","Northwest Territories",61.166588,-113.682994,448
"Watson Lake","Canada","Yukon",60.116626,-128.80003,802
"Lansdowne House","Canada","Ontario",52.216644,-87.883329,120
"Dolbeau","Canada","Québec",48.86659,-72.233328,13337
"Val d'Or","Canada","Québec",48.116635,-77.766633,20625
"Ivugivik","Canada","Québec",62.416641,-77.899984,156
"Inukjuak","Canada","Québec",58.470009,-78.135991,1597
"Chicoutimi","Canada","Québec",48.433309,-71.066706,53940
"Gander","Canada","Newfoundland and Labrador",48.949995,-54.549988,3345
"Rigolet","Canada","Newfoundland and Labrador",54.176601,-58.447322,124
"Port Burwell","Canada","Newfoundland and Labrador",60.266462,-64.741098,2762
"Tasiilaq","Denmark",NA,65.601869,-37.633737,1829
"Savissivik","Denmark",NA,76.019476,-65.112481,66
"Uummannaq","Denmark",NA,70.675023,-52.122934,1299
"Sundsvall","Sweden","Västernorrland",62.400053,17.316659,73389
"Hammerfest","Kingdom of Norway","Finnmark",70.66128,23.688001,10000
"Ugolnye Kopi","Russia","Chukchi Autonomous Okrug",64.733296,177.699996,3367
"Petrozavodsk","Russia","Karelia",61.849983,34.280016,265025
"Vologda","Russia","Vologda",59.209989,39.919982,294889
"Yaroslavl","Russia","Yaroslavl'",57.619983,39.870011,606730
"Kirov","Russia","Kirov",58.590053,49.669981,457437
"Nizhny Tagil","Russia","Sverdlovsk",57.920016,59.974985,381116
"Ust-Ulimsk","Russia","Irkutsk",57.98996,102.633311,100271
"Norilsk","Russia","Taymyr",69.340017,88.224992,165873
