"NAME","SOV0NAME","LONGITUDE","LATITUDE","TYPE","ADM1NAME","POP_MAX"
"Verkhoyansk","Russia",133.384974,67.5447,"Populated_Place","Sakha (Yakutia)",1388
"Srednekolymsk","Russia",153.710039,67.450003,"Populated_Place","Sakha (Yakutia)",3459
"Zyryanka","Russia",150.890004,65.735973,"Populated_Place","Sakha (Yakutia)",3627
"Eldikan","Russia",135.183314,60.800021,"Populated_Place","Sakha (Yakutia)",1516
"Khandyga","Russia",135.600033,62.666006,"Populated_Place","Sakha (Yakutia)",6796
"Neryungri","Russia",124.710362,56.674046,"Populated_Place","Sakha (Yakutia)",66320
"Chernyshevskiy","Russia",112.471419,63.012755,"Populated_Place","Sakha (Yakutia)",5137
"Terbyas","Russia",120.546895,64.376082,"Populated_Place","Sakha (Yakutia)",10
"Vilyuysk","Russia",121.624762,63.755267,"Populated_Place","Sakha (Yakutia)",9948
"Sangar","Russia",127.473914,63.924146,"Populated_Place","Sakha (Yakutia)",4633
"Menkere","Russia",123.350496,67.988601,"Populated_Place","Sakha (Yakutia)",10
"Saskylakh","Russia",114.08331,71.91663,"Populated_Place","Sakha (Yakutia)",1920
"Govorovo","Russia",125.993281,70.211359,"Populated_Place","Sakha (Yakutia)",943
"Sagastyr","Russia",126.592352,73.377933,"Populated_Place","Sakha (Yakutia)",10
"Suntar","Russia",117.631931,62.14441,"Populated_Place","Sakha (Yakutia)",8639
"Olenek","Russia",112.450025,68.525002,"Populated_Place","Sakha (Yakutia)",10
"Udachnyy","Russia",112.39654,66.423167,"Populated_Place","Sakha (Yakutia)",15266
"Khakhar","Russia",135.430018,57.666595,"Populated_Place","Khabarovsk",10
"Chumikan","Russia",135.314514,54.711395,"Populated_Place","Khabarovsk",1305
"Komsomolsk na Amure","Russia",137.019998,50.554988,"Populated_Place","Khabarovsk",275908
"Ayan","Russia",138.167331,56.454241,"Populated_Place","Khabarovsk",1286
"Sovetskaya Gavan","Russia",140.27489,48.969891,"Populated_Place","Khabarovsk",29740
"Evensk","Russia",159.233319,61.949977,"Populated_Place","Maga Buryatdan",2024
"Palatka","Russia",150.899978,60.100012,"Populated_Place","Maga Buryatdan",21452
"Omsukchan","Russia",155.80004,62.533275,"Populated_Place","Maga Buryatdan",4201
"Susuman","Russia",148.166759,62.783337,"Populated_Place","Maga Buryatdan",7367
"Nogliki","Russia",143.166703,51.833282,"Populated_Place","Sakhalin",10098
"Korsakov","Russia",142.777476,46.642436,"Populated_Place","Sakhalin",35091
"Manily","Russia",165.300029,62.549992,"Populated_Place","Kamchatka",10
"Oktyabrskiy","Russia",156.238722,52.663593,"Populated_Place","Kamchatka",1534
"Klyuchi","Russia",160.850016,56.29996,"Populated_Place","Kamchatka",1089
"Kulusuk","Denmark",-37.183322,65.566578,"Populated_Place","Kommuneqarfik Sermersooq",286
"Paamiut","Denmark",-49.63507,62.004102,"Populated_Place","Kommuneqarfik Sermersooq",1862
"Ittoqqortoormiit","Denmark",-21.966654,70.483358,"Populated_Place","Kommuneqarfik Sermersooq",469
"Timmiarmiut","Denmark",-42.21671,62.533275,"Populated_Place","Kommune Kujalleq",10
"Qaqortoq","Denmark",-46.036412,60.72891,"Populated_Place","Kommune Kujalleq",3224
"Kangerlussuaq","Denmark",-50.709909,67.014123,"Populated_Place","Qeqqata Kommunia",556
