abcflux_names,our_names,dataset,flux_method,latitude,longitude,num.months,num.years,start_year,end_year,Flux,co2.yearround,ch4.yearround
Bonanza Creek Thermokarst Bog,"Thermokarst Collapse Scar Bog, Interior Alaska",Terrestrial,EC,64.69555,-148.3208,120,10,2011,2021,CO2 and CH4,Y,N
Bonanza Creek Black Spruce,Bonanza Creek Black Spruce,Terrestrial,EC,64.69635,-148.323525,115,10,2010,2021,CO2 and CH4,Y,N
Bonanza Creek Rich Fen,Bonanza Creek Fen,Terrestrial,EC,64.7013,-148.3121,116,10,2011,2021,CO2 and CH4,Y,N
Tombstone_slavin,Slavin Watershed TWO,Terrestrial,EC,64.70989,-138.4102,35,3,2020,2022,CO2,N,N
"Council, Alaska","Council, Alaska",Terrestrial,EC,64.8439,-163.7105,26,8,2014,2023,CO2,N,N
Daring Lake,Daring Lake (short-term),Lentic,EC,64.86,-112.59,4,1,2006,2006,CO2,N,N
NGEE Arctic Council,Council (NGEE Arctic),Terrestrial,EC,64.86138889,-163.7007222,48,7,2017,2023,CO2 and CH4,N,N
Council Alaska Tundra,Council (Permafrost Pathways),Terrestrial,EC,64.8618,-163.7002,1,1,2024,2024,CO2 and CH4,N,N
"University of Alaska, Fairbanks","University of Alaska, Fairbanks",Terrestrial,EC,64.86627,-147.85553,252,21,2003,2023,CO2 and CH4,Y,N
Daring Lake,Daring Lake,Terrestrial,EC,64.8684697,-111.5844,99,12,2004,2015,CO2,N,N
North Star Yedoma,,Terrestrial,EC,64.894,-147.637,24,3,2021,2023,CO2 and CH4,Y,Y
Poker Flat Research Range: Succession from fire scar to deciduous forest,Poker Flat Research (fire scar succession),Terrestrial,EC,65.11983333,-147.5123528,172,15,2008,2022,CO2,Y,N
Poker Flat Research Range Black Spruce Forest,Poker Flat Research Range Black Spruce Forest,Terrestrial,EC,65.12367,-147.48756,144,12,2011,2022,CO2,Y,N
NEON Caribou Creek - Poker Flats Watershed (BONA),NEON Caribou Creek - Poker Flats Watershed (BONA),Terrestrial,EC,65.154,-147.5026,56,6,2017,2022,CO2,Y,N
Cascaden Ridge Fire Scar,Cascade Ridge,Terrestrial,EC,65.396775,-149.1214939,48,4,2011,2014,CO2,Y,N
